,Q1,Q2,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
Q1,1.0,-0.12794121589413576,0.054872194744159775,-0.04125950550049113,-0.06197635255264253,0.019537077739796464,0.021585519950637073,0.20876613831241642,0.057718754714823635,0.307693392654577,-0.07061542799858396,0.10907852197245171
Q2,-0.12794121589413576,1.0,0.001722741487762279,-0.03594284880061937,-0.09119649941663464,0.0252441940110373,-0.13133059634076366,-0.1699336789858271,-0.11693881485403645,-0.2817747467361732,0.08554977739270779,-0.013251308117385225
dietary,0.054872194744159775,0.001722741487762279,1.0,0.03338203945744654,0.06662870096459186,0.07784430670139354,0.0694651482218646,0.06599724334019626,0.0731366831217757,0.03476468197841212,-0.014944965805429826,0.006694152515027566
hygiene,-0.04125950550049113,-0.03594284880061937,0.03338203945744654,1.0,0.10279068332886024,0.10463181609279655,0.12766899636313372,0.05043862310740854,0.18688262070733236,0.055457067806286224,0.019122772855461854,0.0765753895229891
injury,-0.06197635255264253,-0.09119649941663464,0.06662870096459186,0.10279068332886024,1.0,0.28945385868185947,0.23323360994260145,0.1312633152340825,0.20153411506278618,0.09358432632601775,-0.03877876402330585,0.13443739623543632
mental_health,0.019537077739796464,0.0252441940110373,0.07784430670139354,0.10463181609279655,0.28945385868185947,1.0,0.18299760891401984,0.07079780476572113,0.1863865984704262,0.07063233994578898,-0.0044426416114702605,0.06281486760225172
tobacco_use,0.021585519950637073,-0.13133059634076366,0.0694651482218646,0.12766899636313372,0.23323360994260145,0.18299760891401984,1.0,0.4407378722825995,0.45121963184424313,0.20494274541440757,0.0023547399102155147,0.12462828084258228
alcohol_use,0.20876613831241642,-0.1699336789858271,0.06599724334019626,0.05043862310740854,0.1312633152340825,0.07079780476572113,0.4407378722825995,1.0,0.36559239489794776,0.3339576441270704,-0.015377818662437377,0.18138313366591538
drug_use,0.057718754714823635,-0.11693881485403645,0.0731366831217757,0.18688262070733236,0.20153411506278618,0.1863865984704262,0.45121963184424313,0.36559239489794776,1.0,0.18200269554864604,0.00330134637259387,0.12523126885598243
sexual_behaviours,0.307693392654577,-0.2817747467361732,0.03476468197841212,0.055457067806286224,0.09358432632601775,0.07063233994578898,0.20494274541440757,0.3339576441270704,0.18200269554864604,1.0,-0.04405764188350168,0.1321107079348497
physical_activity,-0.07061542799858396,0.08554977739270779,-0.014944965805429826,0.019122772855461854,-0.03877876402330585,-0.0044426416114702605,0.0023547399102155147,-0.015377818662437377,0.00330134637259387,-0.04405764188350168,1.0,0.018670279078398005
protective_factors,0.10907852197245171,-0.013251308117385225,0.006694152515027566,0.0765753895229891,0.13443739623543632,0.06281486760225172,0.12462828084258228,0.18138313366591538,0.12523126885598243,0.1321107079348497,0.018670279078398005,1.0
