,Q1,Q2,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
Q1,1.0,-0.1258002490158798,0.05444892231134717,-0.041318211353615894,-0.06486792299206348,0.019955792864154484,0.02346790969713655,0.20948018954645162,0.05659343407483978,0.3108528066680234,-0.06709705754637361,0.10827123123995085
Q2,-0.1258002490158798,1.0,0.0013604766619286527,-0.03548135324759918,-0.0873990352161657,0.024135219250719934,-0.1326926999548922,-0.17436089147834444,-0.11980806406825861,-0.2941393238838717,0.08806093664582182,-0.015443177867647307
dietary,0.05444892231134717,0.0013604766619286527,1.0,0.032937751472686606,0.07053693083010112,0.07664364158269724,0.06859357975233815,0.06454915992443447,0.07122096580811686,0.031914233663616905,-0.014724393737330765,0.006914387368907113
hygiene,-0.041318211353615894,-0.03548135324759918,0.032937751472686606,1.0,0.10017139992025265,0.10391282752466807,0.12536182915639205,0.05422067651988907,0.17986163128699748,0.057253830629990746,0.01895493938734285,0.07394977232351843
injury,-0.06486792299206348,-0.0873990352161657,0.07053693083010112,0.10017139992025265,1.0,0.287935977690109,0.2318802980520956,0.1283023018841393,0.20214966128519285,0.09610884243395959,-0.03923155418472086,0.13368672848715196
mental_health,0.019955792864154484,0.024135219250719934,0.07664364158269724,0.10391282752466807,0.287935977690109,1.0,0.18167873784876645,0.07304945718027209,0.1861456555287141,0.0727916350533232,-0.0023775058837820903,0.062811511685018
tobacco_use,0.02346790969713655,-0.1326926999548922,0.06859357975233815,0.12536182915639205,0.2318802980520956,0.18167873784876645,1.0,0.44421307323515324,0.45659626621780663,0.20877098558412982,0.005401603049169769,0.12180085387606387
alcohol_use,0.20948018954645162,-0.17436089147834444,0.06454915992443447,0.05422067651988907,0.1283023018841393,0.07304945718027209,0.44421307323515324,1.0,0.36937764185496313,0.34105517069846464,-0.01519942973592322,0.17820087742594795
drug_use,0.05659343407483978,-0.11980806406825861,0.07122096580811686,0.17986163128699748,0.20214966128519285,0.1861456555287141,0.45659626621780663,0.36937764185496313,1.0,0.18378671862266827,0.0023262388994710007,0.11782739513720318
sexual_behaviours,0.3108528066680234,-0.2941393238838717,0.031914233663616905,0.057253830629990746,0.09610884243395959,0.0727916350533232,0.20877098558412982,0.34105517069846464,0.18378671862266827,1.0,-0.04334383233416581,0.13191563650298332
physical_activity,-0.06709705754637361,0.08806093664582182,-0.014724393737330765,0.01895493938734285,-0.03923155418472086,-0.0023775058837820903,0.005401603049169769,-0.01519942973592322,0.0023262388994710007,-0.04334383233416581,1.0,0.02289439527071639
protective_factors,0.10827123123995085,-0.015443177867647307,0.006914387368907113,0.07394977232351843,0.13368672848715196,0.062811511685018,0.12180085387606387,0.17820087742594795,0.11782739513720318,0.13191563650298332,0.02289439527071639,1.0
