,Q1,Q2,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
Q1,1.0,-0.12541965155552537,0.05612075013775727,-0.04149029111540495,-0.05678947998147216,0.01933156561656551,0.022942312770315092,0.20783872086826186,0.05494454396666763,0.27896057483532666,-0.06688529903871533,0.10740643454941588
Q2,-0.12541965155552537,1.0,-0.00042938745875451375,-0.037529914988063774,-0.09327983397212007,0.02058692807685099,-0.1314517864041318,-0.17041767872076669,-0.12111975022686877,-0.2586893132235689,0.08324246754854198,-0.015487750869057567
dietary,0.05612075013775727,-0.00042938745875451375,1.0,0.03588216135488439,0.07175740323706706,0.0816668752525719,0.07064184619573333,0.07130363812222915,0.0783580098478145,0.025167657352719433,-0.014822041459034613,0.010445131051782738
hygiene,-0.04149029111540495,-0.037529914988063774,0.03588216135488439,1.0,0.09875937073001566,0.11070327239875943,0.13601175245737096,0.05658360049727104,0.18396943108849148,0.04416973983882382,0.021761762933055165,0.07778021733111423
injury,-0.05678947998147216,-0.09327983397212007,0.07175740323706706,0.09875937073001566,1.0,0.2827907416691867,0.23977155379511766,0.13320887088272215,0.21217132681236137,0.06746057871345089,-0.0366271934093626,0.13158378456670342
mental_health,0.01933156561656551,0.02058692807685099,0.0816668752525719,0.11070327239875943,0.2827907416691867,1.0,0.1876741897613185,0.07571083054246126,0.19681111923148117,0.053201820941104684,-0.00029753058775016235,0.06787889535414686
tobacco_use,0.022942312770315092,-0.1314517864041318,0.07064184619573333,0.13601175245737096,0.23977155379511766,0.1876741897613185,1.0,0.4462705059724435,0.47457312365205845,0.1795053267461141,0.00627019258751975,0.12949394168406592
alcohol_use,0.20783872086826186,-0.17041767872076669,0.07130363812222915,0.05658360049727104,0.13320887088272215,0.07571083054246126,0.4462705059724435,1.0,0.38086078091867803,0.3073783100279173,-0.013401421963875159,0.1788688155959915
drug_use,0.05494454396666763,-0.12111975022686877,0.0783580098478145,0.18396943108849148,0.21217132681236137,0.19681111923148117,0.47457312365205845,0.38086078091867803,1.0,0.15692540238325453,0.001244737430107954,0.12383590164046601
sexual_behaviours,0.27896057483532666,-0.2586893132235689,0.025167657352719433,0.04416973983882382,0.06746057871345089,0.053201820941104684,0.1795053267461141,0.3073783100279173,0.15692540238325453,1.0,-0.04214460398115607,0.11581250663938261
physical_activity,-0.06688529903871533,0.08324246754854198,-0.014822041459034613,0.021761762933055165,-0.0366271934093626,-0.00029753058775016235,0.00627019258751975,-0.013401421963875159,0.001244737430107954,-0.04214460398115607,1.0,0.021647015734620325
protective_factors,0.10740643454941588,-0.015487750869057567,0.010445131051782738,0.07778021733111423,0.13158378456670342,0.06787889535414686,0.12949394168406592,0.1788688155959915,0.12383590164046601,0.11581250663938261,0.021647015734620325,1.0
